ITEM,Ajuste Positivo
1266703032,2797
10200000118,4500
10458011006,7185
10458033010,1800
10458073010,13453
10458305006,1500
10548100200,3000
10548500007,3000
10548506000,320
10548550330,1000
10548550415,600
10548550420,300
10548550610,246
10548550815,2000
10548554007,1200
10548554008,300
10548554010,200
10548554012,1500
10548554014,500
10548554017,3000
10548554018,500
10548555225,2200
10548558000,1000
10651063070,15000
10651063150,10000
10658000183,0
10658019050,2389
10658802010,61
10658804010,1288
10668006030,24000
10681227001,330
10681227220,380
10688000709,4000
10688000884,50000
10688001035,100000
10688001189,100
10688001510,2000
10688002030,221
10688002060,800
10688002710,700
10688071007,5000
10688072115,4500
10688190290,1155
10688219000,4000
10688227060,2000
10688227185,3585
10688227200,3835
10688227245,500
10688227290,2079
10688227415,1200
10688227610,4594
10688227975,1500
10688227990,1200
10688256100,500
10688256135,19821
10688256150,500
10688256170,6000
10688256210,7000
10688256300,2100
10688260265,7000
10688314023,5000
10728000004,10000
10728000018,13000
10728000036,7000
10728000037,5000
10728000038,4000
10728000039,6000
10728000140,2500
10728001031,200
10728002025,500
10728004025,1803
10728008009,5000
10728009005,5000
10728009009,3000
10728009011,2000
10728009013,9650
10728013012,27000
10728024006,1000
10728058008,10000
10728067008,6785
10728117000,200
10728125000,200
10728126000,4000
10728128000,2924
10728129000,6000
10728130000,9868
10728131000,15000
10728123000-1,1000
10728143000,11951
10729001000,1500
10729002000,1500
10729005000,2300
10738000024,200
10738001024,500
10738004018,5436
10738017016,0
10738024012,500
10738045010,500
10738128008,433
10761000087,444
10768171000,2000
10768172000,6000
10768197000,200
10768198000,200
10768200000,200
10768201000,500
10778000175,1200
10778040000,1500
10778057000,4000
10778058000,70000
10778161000,78350
10778183000,10000
10778184000,5000
10778602001,2831
10778605003,2494
17008034002,7000
17008561000,213685
17008569000,5289
17008747000,22290
17008964000,600
17009986000,11500
17009988000,13968
17268128027,1000
17278018008,287
17278057008,1740
17348570015,7900
17368184000,2000
17471001016,500
20370000042,39.543
20370100404,38
20370100947,43
20370100948,132
00M140958B10,0
1128024044,1000
1128024047,906
1366020037,400
4116277035,1009
07001006022-1,200
07008010016-2,50
07008058000-1,200
07008103000-4,100
7028019014,640
7088067008,3000
7138009027,756
7138113027,50
7138148027,2000
07158506006-1,2318
07158512006-2,161
7158516016,150
7158524006,1200
7158545006,448
7158549006,1000
07368083005-15,200
7508074008,1920
7508203019,1500
07701000026-1,2314
07768419010-1,2000
0981 6320 019,80
9816367018,100
10458301006-1,85000
10548500001-2,3000
10548556000-1,8000
10678200062-1,1000
10681994220-1,354
10681994455-1,600
10728004007-1,880
10768120000-1,0
17008129000-1,3646
17158812006-1,4160
17158813006-1,4160
17236699010-3,4377
17238705010-1,3716
17248018033-2,300
17248055027-5,200
17278127008 1,500
17318063027-1,1189
17368481006-3,2500
17368482006-3,49
17368713006-2,1200
17368715006-2,1440
17368718006-2,712
17668001019-3,25000
1789P050501-100-40D,10663
1789P050946-70D,28980
50946 99A,2500
A612 50 04 YYB,4568
A613C57 57 02,51
A624 57 56 05,1308
A645 57 56 02,1500
H07368202002-4,10
IA010004,0
IA070050,1151
IA070051,168
S07238108008-2,3
S07368801006-11,40
S07368816006-3,30
T40096 20 70D,2596
T40490A,17026
T50087 30C,31765
T50087C,109154
T50113 10A,35543
T50119A,1519
T50137 70C,42000
T50148 10A,46514
T50161,12000
T50513 40,7217
T50946 70A,11000
T51367 50,500
0981 6320 019,80
20481000004,1785.74
